f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg,f_category_new
"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",141,6.5,2.8,2.6,0.7,18,16.8,6.2,9,1.5,3.0,0.2,0,72.3,219,114,8,1267,1267,0.04,0.05,0.06,0.08,0.28,5.1,0.28,2,0.1,1.17,200,88.0,140,24,12,48,0.4,3.2,0.3,1.6,sweets
"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",139,6.7,2.8,2.7,0.8,18,16.1,6.2,8.3,1.5,2.8,0.3,0,73,225,117,8,1302,1267,0.04,0.04,0.05,0.08,0.27,5.2,0.27,2,0.1,1.2,200,110.0,170,24,8.8,40,0.3,3.2,0.2,1.5,sweets
Fruit/Dried fruit,239,0.5,0.2,0.1,0.2,0,59.1,34.3,0.4,8.3,2.9,0.0,0,24.7,421,210,0,2525,2525,0.01,0.04,0.15,0,2.69,8.9,0.58,0.2,0,5.52,1370,11.0,5.4,82,50,110,1.4,2.7,0.4,0.4,fruits
Fruit/Cooked fruit (incl. cans),62,0.1,0,0.1,0,0,13.7,13.3,0,1.4,0.9,0.0,0,83,154,77,0,925,925,0.02,0.0001,0.02,0,0.11,6.9,0.12,2.2,0,0.45,140,9.7,4.6,18,4.9,11,0.1,0.5,0.1,0.2,fruits
Fruit/Fresh fruit,44,0.1,0,0.1,0,0,9.0,6.7,0.0001,1.7,0.8,0.0,0,87.1,384,192,0,2305,2243,0.02,0.02,0.06,0,0.38,5.6,0.18,3.6,0,0.7,260,0.0001,1,15,8.4,22,0.2,0.5,0.1,0.1,fruits
Fruit/Cooked fruit (incl. cans),45,0.2,0,0.1,0,0,9.0,6.7,0.0001,1.7,1.0,0.0,0,88.2,360,180,0,2161,2103,0.02,0.02,0.05,0,0.38,3.5,0.18,1.8,0,0.88,200,0.0001,1.3,18,8.4,22,0.2,0.6,0.1,0.1,fruits
Fruit/Cooked fruit (incl. cans),40,0.1,0,0.1,0,0,8.2,6.1,0,1.4,0.9,0.0,0,89.4,154,77,0,925,925,0.02,0.02,0.05,0,0.34,3.2,0.16,1.6,0,0.8,180,0.0,1.1,16,7.6,20,0.2,0.6,0.1,0.1,fruits
Vegetables/Cooked vegetables (incl. cans),27,0.5,0.0001,0.0001,0.0001,0,2.3,1.2,0.4,3.2,1.8,0.8,0,90.5,4,2,0,25,25,0.02,0.03,0.03,0,0.39,54.3,0.13,12.2,0.3,1.12,150,310.0,500,25,18,34,0.4,20.0,0.3,20.0,vegetables
Vegetables/Fresh vegetables,27,0.2,0.0001,0.0001,0.0001,0,3.3,3.2,0.1,1.7,2.2,0.0,0,92,26,13,0,156,148,0.12,0.13,0.07,0,1.1,76.3,0.19,14.9,0,1.7,270,3.0,53,22,18,56,0.9,7,0.4,n.d.,vegetables
Vegetables/Cooked vegetables (incl. cans),26,0.2,0,0,0,0,3.1,3,0.1,1.6,2.1,0.0,0,93,23,12,0,141,133,0.1,0.12,0.06,0,0.88,45.8,0.16,11.2,0,1.7,230,2.6,50,21,16,53,0.7,6.7,0.4,n.d.,vegetables
