f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg,f_category_new
Vegetables/Fresh vegetables,32,0.4,0.1,0,0.1,0,5.2,5.1,0.1,2,0.9,0.0,0,91.3,152,76,0,910,696,0.03,0.03,0.27,0,0.9,28.2,0.16,149.3,0,0.7,170,3.0,18,9,12,20,0.4,1,0.3,n.d.,vegetables
Vegetables/Cooked vegetables (incl. cans),39,0.4,0.1,0,0.2,0,6.4,6.2,0.1,2.5,1.1,0.0,0,89.6,180,90,0,1078,825,0.03,0.03,0.29,0,0.95,22.2,0.17,143.4,0,0.92,170,3.4,23,11,13,25,0.4,1.3,0.3,n.d.,vegetables
Sweets/Other sweet pastries,336,12.8,6.8,4,0.9,104,45.8,17.1,28.5,2.2,8.4,0.6,0,32.2,130,126,122,50,50,0.05,0.1,0.1,0.0001,0.48,14,0.38,0.2,1,0.78,110,250.0,400,38,16,100,1.3,4.1,0.9,n.d.,sweets
Milk and dairy products/Hard cheese,453,38.3,n.d.,n.d.,n.d.,n.d.,0.0,n.d.,0,0,27.1,1.6,0,26.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,660.0,n.d.,920,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,dairy
Milk and dairy products/Hard cheese,491,41.2,n.d.,n.d.,n.d.,n.d.,0.0,n.d.,0,0,30.0,1.7,0,21.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,0.56,n.d.,0.83,n.d.,n.d.,0.43,n.d.,0.8,n.d.,n.d.,690.0,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,dairy
Sausages and cold meats/Boiled sausage products,333,29.4,10.8,13.7,3,63,0.0,0,0,0,17.3,1.5,0,53.3,7,7,6,3,3,0.53,0.2,0.31,2.61,4.95,2.3,0.54,0,0,0.52,220,610.0,880,3.4,20,100,1.3,0.7,2.4,n.d.,meat
Fruit/Cooked fruit (incl. cans),36,0.6,0,0,0.1,0,5.3,5,0,3.2,0.7,0.0,0,90.2,1,0,0,5,5,0.01,0.02,0.03,0,0.31,19.1,0.13,20.8,0,0.45,90,0.7,58,18,11,20,0.2,1.3,0.1,0.5,fruits
Fruit/Fresh fruit,40,0.5,0,0,0.1,0,6.3,5.9,0,3.7,0.7,0.0,0,88.7,1,1,0,6,6,0.02,0.03,0.04,0,0.37,36.3,0.15,49.4,0,0.42,140,1.1,55,18,12,24,0.2,1.2,0.1,0.5,fruits
Sweets/Other sweet pastries,355,5.6,0.7,3,1.3,22,65.6,36.9,28.4,3,7.8,0.0,0.7,18.1,8,8,7,2,2,0.08,0.12,0.11,0.06,0.35,9.8,0.24,0.5,0.1,2.47,140,6.0,37,52,30,97,1.3,2.7,0.8,2,sweets
Sausages and cold meats/Boiled sausage products,291,25.4,9.4,11.8,2.6,63,0.0,0,0,0,15.6,1.4,0.1,59,5,5,5,2,2,0.23,0.16,0.13,1.52,2.65,1.6,0.29,0,0,0.43,120,570.0,870,2.9,13,79,1.2,0.7,2.1,n.d.,meat
Prepared dishes/Muesli and pudding,86,3.1,1.1,1,0.7,5,11.1,8.2,2.8,1.5,2.6,0.0,0,81.7,18,16,15,20,20,0.05,0.09,0.05,0.09,0.19,9.4,0.23,4.7,0,0.33,160,19.0,79,59,19,78,0.3,5.8,0.4,n.d.,other
Sweets/Other sweet pastries,363,10.4,5.8,2.4,0.9,25,57.2,33.5,19.5,6.9,4.9,0.8,1,20,84,80,76,44,44,0.08,0.06,0.09,0,0.5,15.4,0.24,0.7,0.2,0.81,320,300.0,450,64,32,75,1.6,2.2,0.6,n.d.,sweets
Sweets/Cakes and tarts,248,16.1,9.3,5,0.8,88,21.4,12,9.4,0.9,3.9,0.1,0.0001,56.4,199,185,171,169,169,0.03,0.1,0.04,0.0001,0.19,6,0.28,0.8,1,0.72,110,51.0,67,47,13,77,0.7,5.3,0.5,n.d.,sweets
Sausages and cold meats/Cooked sausage products,149,10.8,4.5,4.6,1,32,2.6,2.5,0,0.1,10.2,2.0,0,76.2,35,34,33,9,9,0.05,0.12,0.19,1.09,0.39,4.4,0.39,0.6,0,0.13,140,790.0,1230,61,13,64,30,6.9,1.6,n.d.,meat
Vegetables/Fresh vegetables,55,0.4,0.1,0,0.2,0,2.1,2.1,0.1,18.3,1.4,0.0,0,76.8,9,4,0,52,52,0.14,0.04,0.09,0,0.35,35.4,0.17,4.9,0,3,320,5.0,31,53,23,76,3.3,2.5,0.2,n.d.,vegetables
Vegetables/Cooked vegetables (incl. cans),57,0.5,0.1,0,0.3,0,2.2,2.2,0.1,19.1,1.5,0.0,0,76.7,9,4,0,52,52,0.12,0.04,0.09,0,0.31,23.6,0.16,4.4,0,3.33,300,4.4,33,56,22,80,3.1,2.6,0.2,n.d.,vegetables
"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",214,11.6,5.5,4,1.3,19,22.3,10.2,11.7,3.6,3.2,0.1,0,59.5,58,52,46,73,73,0.04,0.05,0.04,0.05,0.33,11.6,0.28,6.2,0.1,1.65,160,41.0,82,30,18,47,0.5,1.9,0.3,n.d.,sweets
"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",143,6.9,2.8,2.6,1,18,15.2,5.8,9,3.9,3.2,0.2,0,71,18,13,8,57,57,0.03,0.06,0.04,0.08,0.33,9.3,0.32,5.7,0.1,1.55,160,89.0,150,34,19,50,0.6,3.2,0.4,n.d.,sweets
"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",141,7.0,2.9,2.8,1,18,14.5,5.8,8.3,3.8,3.0,0.3,0,71.8,19,14,8,65,57,0.03,0.05,0.02,0.08,0.33,9.4,0.31,5.7,0.1,1.59,160,110.0,180,34,17,42,0.4,3.1,0.3,n.d.,sweets
Fruit/Fresh fruit,47,0.7,0.1,0.2,0.4,0,6.5,6.1,0.0001,5.2,1.1,0.0,0,86.1,19,9,0,113,98,0.01,0.03,0.02,0,0.47,16.1,0.24,10.7,0,1.28,200,1.0,20,31,20,25,0.4,0.4,0.2,0.0001,fruits
Milk and dairy products/Fresh cheese and curds,67,0.2,0.1,0,0,0,8.3,5.2,2.6,0.3,8.0,0.1,0,83.1,4,3,2,13,13,0.03,0.34,0.04,0.39,0.28,15.1,0.37,1.5,0,0.08,180,48.0,110,130,13,140,0.1,19,0.5,n.d.,dairy
Milk and dairy products/Fresh cheese and curds,47,0.0,0,0,0,1,3.9,3.9,0,0.0001,7.8,0.1,0,86.5,5,4,4,3,3,0.04,0.32,0.06,0.36,0.2,24,0.35,0,0.1,0.0001,140,44.0,89,130,12,120,0.2,10,0.5,n.d.,dairy
Milk and dairy products/Hard cheese,360,31.5,18.9,7.4,1.5,95,0.2,0.1,0,0,19.1,3.8,0,48.9,221,218,214,44,44,0.03,0.58,0.1,0.72,0.51,46,0.99,0,0.5,0.67,130,1530.0,2100,610,24,390,0.4,40,2.5,n.d.,dairy
Fruit/Dried fruit,338,4.4,0.3,0.6,1.7,0,56.4,46.4,10,24.4,6.1,0.0,0,6.7,42,21,0,250,n.d.,0.42,0.42,0.46,0,3.7,25,0.89,15,0,7.6,540,1.7,n.d.,120,49,140,1.8,5.6,1.1,1.4,fruits
Fruit/Fresh fruit,52,0.3,0,0.2,0,0,10.6,10,0,1.5,0.9,0.0,0,85.7,4,2,0,23,18,0.03,0.03,0.05,0,0.22,9,0.12,7.5,0,0.94,66,2.0,53,10,5,16,0.6,2,0.1,0.5,fruits
Prepared dishes/Salads,201,14.9,3.5,7.8,2.7,45,1.5,1.3,0.1,0.5,15.0,0.8,0,68,30,17,3,164,164,0.03,0.09,0.21,0.67,1.56,10.5,0.36,7.4,0.3,3.12,200,310.0,310,12,13,100,1.4,3,3.3,n.d.,other
Prepared dishes/Stews and soups,5,0.3,0.2,0.1,0,0,0.2,0,0.1,0.0001,0.3,1.1,0,98,0,0,0,0,0,0.0001,0.01,0.01,1,0.83,23,0.14,0,0,0,54,420.0,330,1,10,13,0.2,3,0,n.d.,other
Prepared dishes/Stews and soups,5,0.3,0.1,0.1,0.1,5.0,0.3,0.1,0.1,0.0001,0.3,1.0,0,98.1,0,0,0,0,0,0.0001,0.01,0.01,0.4,1.2,23,0.18,0,0,0,10,400.0,290,6,11,5,0.0001,2.8,0.0001,n.d.,other
Prepared dishes/Stews and soups,6,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,0.0001,0.3,0.9,0,97.5,0,0,0,2,2,0.11,0.01,0,0,0.1,1,0.03,0,0,0,8,360.0,280,1,4,3,0.1,3.6,0,n.d.,other
"Bread, flakes and breakfast cereals/Bread and bread products",272,6.4,3.2,1.4,1.2,20,40.4,0.9,39.5,7.3,9.5,1.2,0,36.9,46,44,42,22,22,0.25,0.15,0.29,0.03,0.67,33.9,0.68,0,0.1,1.14,270,460.0,710,22,86,240,3.3,2.6,2.3,3.7,cereals
"Bread, flakes and breakfast cereals/Bread and bread products",325,11.4,6.5,2.6,0.9,41,45.7,2.9,42.4,2.1,9.0,1.5,0,32.5,98,95,91,41,41,0.11,0.13,0.06,0.1,0.5,23.4,0.37,0.2,0.3,0.34,180,590.0,930,49,14,90,0.5,5.4,0.6,2.6,cereals
"Nuts, seeds and oleaginous fruit",698,66.5,16.1,23.9,24.4,0,4.2,2.3,0.3,7.5,17.0,0.0,0,3.4,0,0,0,0,0,0.62,0.04,0.1,0,0.3,22,0.18,0.7,0,5.65,640,0.7,55,160,350,650,2.4,5,4.3,230,fruits
"Bread, flakes and breakfast cereals/Bread and bread products",264,4.6,2.3,1,0.7,14,44.6,1.3,42.9,3.7,9.2,1.6,0,38.7,34,32,31,14,14,0.17,0.1,0.12,0.04,0.74,21.8,0.39,0.1,0.1,0.39,170,620.0,970,29,36,130,1.5,2.7,1.2,2.9,cereals
"Bread, flakes and breakfast cereals/Bread and bread products",272,4.7,0.5,1.9,2,0,45.6,4,41.4,5.2,9.1,1.3,0,36.1,0,0,0,2,2,0.19,0.1,0.23,0,0.72,26.5,0.49,0,0,1.71,200,500.0,770,17,59,180,2.4,1.4,1.7,3.7,cereals
"Bread, flakes and breakfast cereals/Bread and bread products",316,10.4,6,2.4,0.9,38,45.7,2.7,42.6,2.2,8.9,1.4,0,33.5,90,87,83,37,37,0.11,0.12,0.06,0.1,0.48,22,0.36,0.2,0.2,0.33,180,540.0,860,46,14,88,0.5,5.1,0.6,2.6,cereals
"Bread, flakes and breakfast cereals/Bread and bread products",267,3.3,0.3,1.5,1.1,0,49.2,4.4,44.4,2.9,8.7,1.3,0,36.7,0,0,0,0,0,0.16,0.06,0.16,0,0.62,25,0.38,0,0,0.82,140,520.0,810,13,30,110,1.4,0.9,1,2.8,cereals
"Bread, flakes and breakfast cereals/Bread and bread products",271,4.9,0.5,1.9,2.3,0,43.7,4.2,39.5,7.4,9.3,1.3,0,35.3,1,0,0,3,3,0.25,0.14,0.29,0,0.63,31.6,0.65,0,0,2.15,270,510.0,770,21,87,240,3.4,1.8,2.3,3.3,cereals
"Bread, flakes and breakfast cereals/Bread and bread products",215,1.0,0.2,0.2,0.5,0,41.5,0.4,40.9,2.9,8.6,1.9,0,46.7,0,0,0,0,0,0.15,0.07,0.12,0,0.72,22.9,0.31,0,0,0.23,120,770.0,1170,17,28,110,1.3,1.1,1,2.7,cereals
"Bread, flakes and breakfast cereals/Bread and bread products",231,1.0,0.1,0.1,0.5,0,44.6,0.3,43.9,3.5,9.1,2.1,0,42.5,0,0,0,0,0,0.15,0.07,0.18,0,0.78,20.7,0.37,0,0,0.27,140,840.0,1280,16,37,130,1.7,1.2,1.2,2.7,cereals
Sweets/Other sweet pastries,366,14.3,8.5,4.1,0.9,20,49.7,16.3,32.6,2.2,8.6,1.3,0,25.2,71,69,66,33,33,0.12,0.21,0.1,0.05,0.51,21.6,0.35,0.9,0.1,0.31,310,530.0,800,100,34,160,1.3,1.1,1.1,n.d.,sweets
"Bread, flakes and breakfast cereals/Bread and bread products",255,0.8,0.2,0.1,0.4,0,51.8,0.7,50.2,2.5,8.7,1.7,0,36.8,0,0,0,0,0,0.11,0.04,0.06,0.01,0.43,15.4,0.23,0,0,0.14,140,690.0,1080,7.8,14,60,0.6,0.9,0.5,1.9,cereals
