f_ID,f_name,f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg
1479,"Apple pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",144,6.7,2.8,2.7,0.8,18.0,17.8,9.4,8.3,1.3,2.4,0.3,0.0,71.8,11.0,9.0,8.0,15.0,15.0,0.03,0.04,0.04,0.08,0.1,4.8,0.2,3.9,0.1,0.8,110.0,110.0,210.0,17.0,7.5,35.0,0.2,3.4,0.2,1.8
378,"Apple, fresh",Fruit/Fresh fruit,52,0.3,0.1,0.0,0.2,0.0,11.6,11.5,0.1,1.4,0.3,0.0,0.0,85.4,4.0,2.0,0.0,25.0,23.0,0.01,0.01,0.04,0.0,0.08,6.0,0.08,7.2,0.0,0.09,120.0,1.5,61.0,5.3,6.5,14.0,0.1,0.8,0.1,0.5
435,"Apple, peeled, dried",Fruit/Dried fruit,264,1.6,0.7,0.1,0.9,0.0,55.4,50.0,2.9,11.2,1.4,0.0,0.0,26.8,1.0,0.0,0.0,4.0,4.0,0.04,0.03,0.12,0.0,0.48,14.0,0.28,1.8,0.0,1.57,620.0,10.0,9.0,30.0,23.0,50.0,1.2,4.1,0.2,0.5
1049,"Apple, stewed, drained (without addition of sugar)",Fruit/Cooked fruit (incl. cans),56,0.3,0.1,0.0,0.2,0.0,12.2,12.1,0.1,1.5,0.3,0.0,0.0,85.7,4.0,2.0,0.0,25.0,23.0,0.01,0.01,0.04,0.0,0.09,4.0,0.09,3.8,0.0,0.12,94.0,1.2,80.0,6.7,6.8,15.0,0.1,1.1,0.1,0.7
627,"Applesauce, sweetened, canned",Fruit/Cooked fruit (incl. cans),89,0.3,0.1,0.0,0.1,0.0,20.5,20.4,0.1,1.9,0.3,0.0,0.0,76.5,,,,,,0.02,0.02,0.04,0.0,0.08,5.9,0.08,2.3,0.0,0.34,97.0,3.6,2.1,4.4,3.6,8.1,0.2,0.7,0.1,
628,"Applesauce, unsweetened, canned",Fruit/Cooked fruit (incl. cans),55,0.3,0.1,0.0,0.1,0.0,11.7,11.6,0.1,2.1,0.3,0.0,0.0,85.0,,,,,,0.02,0.02,0.05,0.0,0.09,6.5,0.09,2.5,0.0,0.43,110.0,4.0,2.2,4.8,4.0,9.0,0.2,0.8,0.1,
1482,"Apricot pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",141,6.5,2.8,2.6,0.7,18.0,16.8,6.2,9.0,1.5,3.0,0.2,0.0,72.3,219.0,114.0,8.0,1267.0,1267.0,0.04,0.05,0.06,0.08,0.28,5.1,0.28,2.0,0.1,1.17,200.0,88.0,140.0,24.0,12.0,48.0,0.4,3.2,0.3,1.6
1481,"Apricot pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",139,6.7,2.8,2.7,0.8,18.0,16.1,6.2,8.3,1.5,2.8,0.3,0.0,73.0,225.0,117.0,8.0,1302.0,1267.0,0.04,0.04,0.05,0.08,0.27,5.2,0.27,2.0,0.1,1.2,200.0,110.0,170.0,24.0,8.8,40.0,0.3,3.2,0.2,1.5
469,"Apricot, dried",Fruit/Dried fruit,239,0.5,0.2,0.1,0.2,0.0,59.1,34.3,0.4,8.3,2.9,0.0,0.0,24.7,421.0,210.0,0.0,2525.0,2525.0,0.01,0.04,0.15,0.0,2.69,8.9,0.58,0.2,0.0,5.52,1370.0,11.0,5.4,82.0,50.0,110.0,1.4,2.7,0.4,0.4
621,"Apricot, in syrup, canned, drained",Fruit/Cooked fruit (incl. cans),62,0.1,0.0,0.1,0.0,0.0,13.7,13.3,0.0,1.4,0.9,0.0,0.0,83.0,154.0,77.0,0.0,925.0,925.0,0.02,0.0001,0.02,0.0,0.11,6.9,0.12,2.2,0.0,0.45,140.0,9.7,4.6,18.0,4.9,11.0,0.1,0.5,0.1,0.2
