f_ID,f_name,f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg
10533,Agar Agar,Various/Gelling and binding agents,160,0.2,,,,,0.0,,,74.1,2.4,0.3,,20.5,,,,,,,,,,,,,,,,52.0,130.0,,660.0,100.0,34.0,4.5,,1.5,
10536,Agave syrup,Sweets/Sugar and sweeteners,293,0.0,0.0,,,,73.1,,,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
273,Almond,"Nuts, seeds and oleaginous fruit",624,52.1,4.1,31.4,11.4,0.0,7.8,6.6,0.6,10.6,25.6,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.15,0.94,0.13,0.0,1.88,55.9,0.48,0.5,0.0,27.1,740.0,1.1,40.0,270.0,240.0,510.0,3.3,0.2,3.3,2.2
278,"Almond, dry roasted, salted","Savoury snacks/Salted nuts, seeds and kernels",637,52.5,4.1,33.1,13.0,0.0,10.1,4.9,0.7,10.9,25.4,0.6,0.0,2.4,0.0,0.0,0.0,1.0,1.0,0.08,1.2,0.14,0.0,3.64,55.0,0.32,0.0,0.0,23.9,710.0,230.0,1190.0,270.0,280.0,470.0,3.7,2.4,3.3,2.0
269,"Almond, roasted, salted","Savoury snacks/Salted nuts, seeds and kernels",649,55.2,4.2,34.8,13.5,0.0,7.2,4.6,0.6,10.5,25.6,0.8,0.0,2.8,0.0,0.0,0.0,1.0,1.0,0.09,0.78,0.12,0.0,3.67,27.0,0.23,0.0,0.0,25.97,670.0,330.0,1190.0,240.0,270.0,470.0,3.3,2.4,3.1,2.0
13398,"Amaranth, seed, cooked (without addition of fat and salt)","Cereal products, pulses and potatoes/Other cereal products",119,2.1,0.4,0.5,0.8,0.0,18.1,0.5,17.6,3.5,5.0,0.0,0.0,71.2,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.11,0.0,0.34,16.2,0.27,1.0,0.0,0.4,150.0,1.9,36.0,58.0,84.0,180.0,3.0,0.8,1.2,
13397,"Amaranth, seed, raw","Cereal products, pulses and potatoes/Other cereal products",376,7.0,1.5,1.7,2.8,0.0,56.8,1.7,55.1,11.0,15.8,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.08,0.19,0.53,0.0,1.2,64.3,0.95,4.2,0.0,1.19,480.0,4.0,110.0,160.0,250.0,560.0,9.0,2.5,3.7,
868,Amaretti (Almond cookie),Sweets/Cookies/Biscuits,464,13.0,1.0,7.8,2.8,0.0,76.7,76.4,0.1,2.6,8.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.31,0.04,0.07,0.48,15.0,0.17,0.1,0.0,6.74,220.0,42.0,47.0,69.0,62.0,130.0,0.9,1.7,0.8,3.2
10532,Anchovis paste,Various/Spreads,272,21.3,4.0,13.8,2.1,57.0,0.2,0.1,0.0,0.0,19.8,19.0,0.0,58.7,11.0,10.0,9.0,13.0,13.0,0.03,0.19,0.28,15.68,2.93,12.0,0.47,0.4,1.3,5.51,190.0,7720.0,6000.0,220.0,170.0,210.0,2.1,25.0,1.3,
554,"Appenzeller, at least 15% fidm",Milk and dairy products/Hard cheese,235,11.4,6.8,2.7,0.5,34.0,0.0,0.0,0.0,0.0,33.1,2.0,0.0,48.2,141.0,136.0,130.0,68.0,68.0,0.04,0.5,0.07,1.3,0.1,15.0,0.54,0.0001,0.3,0.36,120.0,810.0,1240.0,1090.0,36.0,730.0,0.2,35.0,2.5,
553,"Appenzeller, at least 45% fidm",Milk and dairy products/Hard cheese,384,31.7,19.0,7.4,1.5,95.0,0.0,0.0,0.0,0.0,24.3,1.6,0.0,39.6,382.0,366.0,350.0,190.0,190.0,0.04,0.36,0.07,1.06,0.1,15.0,0.33,0.0001,0.5,0.95,82.0,620.0,960.0,740.0,29.0,540.0,0.3,8.4,4.0,
568,Apple juice,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,50,0.1,0.0,0.0,0.0,0.0,11.9,11.3,0.0,0.2,0.2,0.0,0.0,91.9,1.0,1.0,0.0,7.0,7.0,0.01,0.0001,0.04,0.0,0.04,7.0,0.05,7.4,0.0,0.51,120.0,14.0,2.0,4.5,4.7,6.9,0.3,1.0,0.0001,0.1
1480,"Apple pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",146,6.6,2.8,2.5,0.8,18.0,18.5,9.4,9.0,1.3,2.6,0.2,0.0,71.1,11.0,9.0,8.0,15.0,15.0,0.03,0.04,0.05,0.08,0.1,5.3,0.21,3.9,0.1,0.76,120.0,89.0,180.0,18.0,10.0,43.0,0.4,3.4,0.3,1.8
