ID,name,category,energy_kcal,fat_g,fatty_acids_sat_g,fatty_acids_monounsat_g,fatty_acids_polyunsat_g,cholesterol_mg,carbohydrates_g,sugars_g,starch_g,fibres_g,protein_g,salt_g,alcohol_g,water_g,vit_A_activity_re_µg,vit_A_activity_rae_µg,retinol_µg,beta_carotene_activity_µg,beta_carotene_µg,vit_B1_mg,vit_B2_mg,vit_B6_mg,vit_B12_µg,niacin_mg,folate_µg,panthotenic_acid_mg,vit_c_mg,vit_d_µg,vit_e_activity_mg,potassium_mg,sodium_mg,chloride_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,iodide_µg,zinc_mg,split
2,Almond,fruits,2.3838839117502,2.367211329033724,0.007568040324592108,3.747869372086525,1.4911128509993865,-0.536757603473416,-0.3920818325637233,0.004006402342690094,-0.5043968574582397,2.0917586371687205,1.7611276473161557,-0.1596846815117424,-0.12265494824935523,-1.9547317691033448,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1640539839004672,-0.16040691893352582,0.010923091452500592,2.814478685169245,-0.1670117584924177,-0.2195441781253601,-0.01794013511155061,0.2658734064824837,-0.0783718144964349,-0.3993268898573889,-0.3460810447868748,4.417923386636477,1.588591076458494,-0.1597773537354552,-0.1481600720869502,1.2952990220174103,4.040213024928038,2.312242543776479,0.7493511393084591,-0.10640758797872601,1.31569536358757,train
3,"Almond, dry roasted, salted",nuts,2.458504005312458,2.390230889815504,0.007568040324592108,3.9802789100826304,1.7459072461628522,-0.536757603473416,-0.2856613082781904,-0.1172516428970926,-0.4985024386148735,2.1669132813754777,1.7391773203360998,-0.07967315066758092,-0.12265494824935523,-1.9862159679282447,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1633172517423198,-0.15966739790273413,-0.1469682104701128,3.746767362085426,-0.1257359660774779,-0.2195441781253601,0.5389776897694013,0.2580019910391581,-0.3075367399369739,-0.4260402945073323,-0.3460810447868748,3.862716147163741,1.4886450320937303,-0.0834384851847645,0.1080033332593754,1.2952990220174103,4.816867527464054,2.0593739886388778,0.9062047447762144,-0.08816239848190402,1.31569536358757,train
4,"Almond, roasted, salted",nuts,2.52738409167762,2.5456129250925232,0.020842652151747007,4.212688448078735,1.825530494651435,-0.536757603473416,-0.4198437084642972,-0.1386501214688191,-0.5043968574582397,2.066707089099802,1.7611276473161557,-0.05300264038619381,-0.12265494824935523,-1.9722229906727349,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1633172517423198,-0.15966739790273413,-0.12441231019545371,2.2407625762977497,-0.2082875509073575,-0.2195441781253601,0.5484706072389629,0.0131135105801389,-0.4364420104972771,-0.4260402945073323,-0.3460810447868748,4.221865830197666,1.3553836396073786,-0.0500881712700896,0.1080033332593754,1.098111348560065,4.62270390183005,2.0593739886388778,0.7493511393084591,-0.08816239848190402,1.1850158101059785,test
5,"Amaranth, seed, cooked (without addition of fat and salt)",cereals,-0.5148197227836704,-0.5102337686888512,-0.4835925972801357,-0.4765157597250362,-0.19690001695857112,-0.536757603473416,0.0844970370627939,-0.4310959952824137,0.4976543459140246,0.3130987242754762,-0.4997560316295256,-0.1596846815117424,-0.12265494824935523,0.4205761200196658,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1640539839004672,-0.16040691893352582,-0.2823036121180676,-0.34095991362398,-0.2495633433222973,-0.2195441781253601,-0.5052432318823834,-0.0813434747397682,-0.3791507791371423,-0.3726134852074456,-0.3460810447868748,-0.2145870177141582,-0.3770144627151932,-0.1595105512241378,-0.1490510752359809,-0.0981605370811629,1.0112604650375765,0.2260769638912684,0.631710935207643,-0.10143162720686551,-0.05643994796914269,test
6,"Amaranth, seed, raw",cereals,0.9603621268702004,-0.2282441491120388,-0.3375718671814328,-0.3124619681983736,0.12159297699576009,-0.536757603473416,1.875138032649805,-0.345502080995508,2.708061412176373,2.1919648294443963,0.6855616252934528,-0.1596846815117424,-0.12265494824935523,-1.6818687126208791,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1640539839004672,-0.16040691893352582,-0.1469682104701128,0.1251844248341099,1.4840199381051744,-0.2195441781253601,-0.233112931088282,0.3393399506201894,0.5948001539851482,-0.2016476954478079,-0.3460810447868748,-0.0775202304693267,0.722392025297208,-0.1588101946319297,-0.132567516978913,0.5722775526738112,4.234376650562043,2.6283282376984807,2.984515017223967,-0.08733307168659402,1.5770544705507534,train
7,Amaretti (Almond cookie),sweets,1.4654827602147165,0.11704926261466989,-0.4039449263172069,0.5214781387288278,0.12159297699576009,-0.536757603473416,2.795906916685504,4.982719083364375,-0.533868951675071,0.0876347916552058,-0.0826998190084774,-0.1463494263710488,-0.12265494824935523,-2.0701738314613127,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1640539839004672,-0.16040691893352582,-0.2371918115687493,0.5554715064877317,-0.538493890226876,-0.2014104612687722,-0.4609429503577623,-0.091838695330869,-0.5223788575374793,-0.4206976135773436,-0.3460810447868748,0.8854173254911983,-0.1438070258640778,-0.1461370753443532,-0.1466008165761465,-0.0258583901468028,0.5841004886427673,-0.09000873003073301,-0.1917704934980704,-0.09396768604907471,-0.3177990549323262,train
8,Anchovis paste,other,0.3634013783721358,0.5947051488366175,-0.005706571502562292,1.3417470963621407,0.010120429111744083,0.2858643332776075,-0.7437322606376585,-0.4596273000447157,-0.5397633705184373,-0.5637054581366865,1.1245681648945558,2.374013795220037,-0.12265494824935523,-0.016704419215056315,-0.1641879430461051,-0.1422978551261873,-0.112777977822418,-0.1544764658445517,-0.15079314553323372,-0.2597477118434085,0.1251844248341099,0.4521251277316794,3.842408397750319,0.3143119763231082,-0.118076746808621,-0.0926946223364686,-0.4046695707873776,0.6429796409770254,0.6720095428188657,-0.2437530702288415,2.4145000270243817,1.1794346199687904,0.9666528995885016,2.6810676454900104,0.4157283802444694,0.2787903229051944,0.09926545725817548,0.008899828771652915,train
9,"Appenzeller, at least 15% fidm",dairy,0.15102111207955507,0.024971019487547385,0.365982559657772,-0.1757504752594881,-0.24467396605172093,-0.0460708341833317,-0.752986219271183,-0.4667601262352912,-0.5397633705184373,-0.5637054581366865,2.5842649090682235,0.10702042130212869,-0.12265494824935523,-0.384020072172223,0.05762745573925,0.0855647377191369,0.1105027487721282,-0.1139561971464477,-0.11011948883969051,-0.2371918115687493,1.236759385772633,-0.4146665129820565,0.11722484921127099,-0.5811865716388769,-0.091838695330869,0.0075650325437669015,-0.4260349518264023,-0.11783627114905171,-0.2215271082075674,-0.476960507079957,0.1099933355203493,0.1191408726222591,6.685095429851517,0.0792750619943567,3.7030195970332858,-0.4662643030666415,0.1821981367891844,0.7929771496612031,train
10,"Appenzeller, at least 45% fidm",dairy,1.0062821844469747,1.193213729162913,1.9854852025706584,0.4667935415532735,-0.08542746907455502,0.8342789577782899,-0.752986219271183,-0.4667601262352912,-0.5397633705184373,-0.5637054581366865,1.6184505219457967,0.05367940073935439,-0.12265494824935523,-0.684869083165712,0.4688390796413321,0.5015043913256823,0.5164677062167584,-0.024074873852471503,-0.019897923083103605,-0.2371918115687493,0.7347577905100741,-0.4146665129820565,0.05505210570296979,-0.5811865716388769,-0.091838695330869,-0.2932139320969402,-0.4260349518264023,0.03432691127616338,-0.1191607734297818,-0.6035588299419912,0.046627739082467,0.0567706521901101,4.384572572849154,-0.0566394759494456,2.50189396012968,-0.4270509016997028,-0.03840279076329871,1.7730738007731408,test
11,Apple juice,non_alcoholic_beverages,-0.9108802193833476,-0.6253315725977542,-0.536691044588755,-0.5448715061944789,-0.3242972145403038,-0.536757603473416,-0.2023756805764687,0.339249233299738,-0.5397633705184373,-0.5136023619988486,-1.0265638791508491,-0.1596846815117424,-0.12265494824935523,1.144712692992366,-0.181250666029594,-0.1585737546151391,-0.1293856351724256,-0.1588968587934358,-0.15523027171798393,-0.3048595123927267,-0.5557448818827462,-0.538493890226876,-0.2195441781253601,-0.6001724065780002,-0.1618068326048745,-0.6942525516178836,-0.03068190568817031,-0.3460810447868748,-0.1955017688572829,-0.476960507079957,-0.1554751632404622,-0.1566246020027419,-0.4498118880800955,-0.5284570862400755,-0.8682117084667008,-0.4270509016997028,-0.09977297361624532,-0.8404519290819525,train
